"student","currProb","course","session","priorTutorAction","reward","avgstepTime","avgstepTimePS","stepTimeDeviation","Level","probDiff","RuleTypesCount","PrepCount","SeenWEinLevel","probIndexinLevel","probIndexPSinLevel","RightApp","PrightAppRatio","F1Score","NonPSelements","AppRatio","BlankRatio","ruleScoreMP","ruleScoreDS","ruleScoreSIMP","ruleScoreMT","ruleScoreADD","ruleScoreCONJ","ruleScoreHS","ruleScoreDN","ruleScoreDEM","ruleScoreIMPL","ruleScoreCONTRA","ruleScoreCOM","ruleScoreDIST","cumul_Interaction","cumul_TotalTime","cumul_TotalPSTime","cumul_TotalWETime","cumul_avgstepTime","cumul_avgstepTimeWE","cumul_avgstepTimePS","cumul_difficultProblemCountSolved","cumul_difficultProblemCountWE","cumul_RuleTypesCount","cumul_probIndexinLevel","cumul_InterfaceErrorCount","cumul_RightApp","cumul_PrightAppRatio","cumul_RrightAppRatio","cumul_F1Score","cumul_DirectProofActionCount","cumul_actionCount","cumul_NonPSelements","cumul_AppRatio","cumul_BlankRatio","CurrPro_NumProbRule","CurrPro_avgProbTime","CurrPro_avgProbTimePS","CurrPro_avgProbTimeDeviationPS","CurrPro_avgProbTimeWE","CurrPro_avgProbTimeDeviationWE","CurrPro_medianProbTime"
"0006-F14","1.0.1.0","226-001-BARNES-F14",1,"PS",0,2,1,2,1,0,3,3,0,0,0,0,2,3,2,0,3,0,0,1,2,0,0,0,0,2,1,0,0,3,0,0,3,1,1,0,1,0,0,3,0,0,0,2,0,2,0,2,1,0,0,1,0,1,0,2,0,3
"0006-F14","1.0.2.0","226-001-BARNES-F14",1,"WE",0,0,0,2,1,0,0,0,1,1,1,1,1,0,2,3,0,1,2,0,1,2,2,2,2,0,2,2,2,1,0,0,3,2,1,0,1,0,0,3,1,0,0,0,3,3,0,2,1,0,0,1,1,0,1,1,0,2
"0006-F14","1.0.3.0","226-001-BARNES-F14",1,"WE",0,1,0,2,1,0,0,0,1,2,1,1,0,0,2,1,2,1,2,0,1,2,2,2,2,0,2,2,2,1,0,0,3,2,2,1,1,0,0,3,2,0,0,0,3,3,0,2,3,3,3,1,0,1,0,1,0,0
"0006-F14","1.0.4.0","226-001-BARNES-F14",1,"PS",-94.0789473684,0,0,2,1,0,4,3,0,3,1,0,0,0,0,2,1,0,0,1,2,2,0,0,0,2,1,0,0,3,0,1,0,2,2,1,1,0,0,4,3,3,0,0,0,0,0,2,3,0,0,1,2,3,1,0,1,0
"0006-F14","2.1.1.0","226-001-BARNES-F14",1,"PS",0,0,0,2,2,1,3,0,0,0,0,0,0,0,0,2,1,1,0,1,2,3,0,0,0,2,1,0,0,3,0,0,3,1,2,0,0,1,0,3,0,0,0,0,0,3,0,2,1,2,2,1,2,3,2,2,0,0
"0006-F14","2.1.2.0","226-001-BARNES-F14",1,"WE",0,0,0,2,2,1,0,0,1,1,1,1,1,0,2,3,0,1,2,0,1,2,2,2,2,0,2,2,2,1,0,0,3,2,2,0,0,1,1,3,1,0,0,0,3,0,0,2,1,0,0,1,2,0,2,2,0,2
"0006-F14","2.1.3.0","226-001-BARNES-F14",1,"PS",161.810039805,1,2,2,2,1,2,0,0,2,1,1,2,3,0,2,1,1,0,3,2,3,0,0,0,2,1,0,0,3,0,0,3,2,2,0,0,2,1,3,2,0,0,0,3,3,0,2,1,2,2,1,2,3,1,0,1,0
"0006-F14","3.1.1.0","226-001-BARNES-F14",1,"WE",0,0,0,2,3,1,0,0,1,0,0,1,0,0,2,1,2,1,2,0,1,2,2,2,2,0,2,2,2,1,0,0,3,2,1,0,0,0,1,0,0,0,0,0,3,0,0,2,1,1,1,1,0,1,0,1,0,0
"0006-F14","3.1.2.0","226-001-BARNES-F14",1,"WE",0,1,0,2,3,1,0,0,1,1,0,1,0,0,2,1,2,1,2,0,1,2,2,2,2,0,2,2,2,1,0,0,3,2,2,0,0,0,2,0,1,0,0,0,3,0,0,2,3,1,1,2,2,0,2,2,0,2
"0006-F14","3.1.3.0","226-001-BARNES-F14",1,"PS",-43.2650730195,0,0,2,3,1,2,3,0,2,0,0,2,0,0,2,1,1,0,2,1,3,2,0,0,2,1,0,0,3,0,0,3,2,2,0,0,1,2,2,2,0,0,2,3,0,0,2,3,3,3,2,2,3,1,0,1,0
